Designator,Mid X,Mid Y,Rotation,Layer
BT1,135.25,-85.425,270.0,bottom
C10,155.675,-76.825,270.0,top
C11,140.52,-76.325,180.0,bottom
C12,159.28,-76.375,180.0,bottom
C13,145.8,-82.475,270.0,top
C14,145.8,-84.375,90.0,top
C15,143.625,-89.85,90.0,top
C18,148.15,-91.75,180.0,top
C19,153.725,-94.175,270.0,top
C20,153.25,-78.275,0.0,top
C21,160.325,-94.175,270.0,top
C22,146.6,-87.75,180.0,top
C23,146.925,-89.16,180.0,top
C24,134.25,-81.075,180.0,top
C25,137.725,-92.825,270.0,top
C26,144.325,-92.875,270.0,top
C27,140.0625,-86.275,0.0,top
C28,164.4,-78.5,90.0,bottom
C4,144.65,-77.4,0.0,bottom
C5,147.65,-79.225,0.0,top
C6,149.55,-79.225,0.0,top
C7,157.12,-76.375,180.0,top
C8,142.45,-76.325,0.0,bottom
C9,157.4,-76.375,180.0,bottom
D1,138.4,-76.325,0.0,top
D3,131.7,-76.025,180.0,top
J1,133.525,-93.8,0.0,bottom
J3,149.95,-77.9,0.0,bottom
J5,149.95,-73.675,0.0,bottom
J6,166.08,-72.125,180.0,bottom
L1,146.94,-86.45,0.0,top
L2,140.425,-89.575,0.0,top
LS1,134.1,-74.5,90.0,bottom
Q1,143.4625,-79.675,180.0,bottom
Q3,137.9,-79.4625,90.0,top
Q5,134.7375,-88.1375,270.0,top
R1,136.425,-95.125,270.0,bottom
R10,143.125,-76.3,180.0,top
R11,142.625,-89.825,270.0,top
R12,144.625,-89.875,90.0,top
R13,164.15,-72.225,180.0,top
R14,164.175,-73.3,180.0,top
R15,158.55,-78.325,90.0,bottom
R16,143.0,-78.4,0.0,top
R17,143.0,-79.425,180.0,top
R18,143.0,-80.45,0.0,top
R19,143.0,-81.5,180.0,top
R2,142.7,-77.4,180.0,bottom
R20,148.55,-80.275,180.0,bottom
R21,138.25,-100.2,180.0,top
R22,138.25,-101.25,0.0,top
R25,143.45,-86.6,0.0,top
R26,143.45,-87.65,0.0,top
R27,147.765,-100.3,180.0,top
R28,147.75,-101.35,0.0,top
R3,152.7,-84.975,0.0,bottom
R31,157.425,-99.975,180.0,top
R32,157.41,-101.025,0.0,top
R33,140.175,-78.775,270.0,top
R35,136.25,-81.075,180.0,top
R36,136.95,-85.1,270.0,top
R37,142.925,-92.325,270.0,top
R38,142.925,-94.285,270.0,top
R39,131.075,-73.85,270.0,top
R4,153.15,-82.975,0.0,bottom
R42,142.4125,-84.6,270.0,top
R6,154.85,-79.085,270.0,bottom
R7,153.675,-76.45,0.0,top
R8,157.8,-83.05,180.0,bottom
R9,157.625,-85.075,180.0,bottom
SW2,140.425,-105.4,0.0,top
SW4,149.95,-105.4,0.0,top
SW5,159.7,-105.4,0.0,top
SW6,135.7,-73.4,0.0,top
U1,166.15,-79.875,270.0,bottom
U2,156.45,-85.925,270.0,top
U3,134.75,-83.875,270.0,top
U4,140.425,-92.775,90.0,top
U5,140.1,-82.65,90.0,top
Y1,147.55,-83.425,90.0,top
